ID,SUBE,MAAS,YAS,CINSIYET,MOBIL BANKACILIK
359,S33,14526,07,36,E,1
360,S33,9064,85,37,E,0
361,S33,18363,47,39,E,1
362,S33,8882,69,25,K,1
363,S33,7377,03,59,E,0
364,S33,10742,09,30,E,1
365,S34,11320,25,63,E,1
366,S34,6152,88,49,E,0
367,S34,14166,75,38,E,1
368,S34,16467,63,55,E,1
369,S34,42645,54,43,K,1
370,S34,21266,98,63,E,1
371,S34,36204,68,44,E,1
372,S34,10169,15,57,E,1
373,S34,16667,05,60,E,0
374,S34,11790,13,51,E,1
375,S34,11450,29,35,K,1
376,S34,17054,89,45,E,1
377,S34,11921,4,39,E,1
378,S34,13338,62,58,E,1
379,S34,10758,14,36,E,1
380,S34,12564,2,60,E,1
381,S34,14008,82,37,E,1
382,S34,5079,83,57,E,0
383,S34,13212,26,38,E,1
384,S34,10659,08,38,E,0
385,S34,11159,85,36,E,1
386,S34,23140,53,27,E,1
387,S34,5550,38,56,E,0
388,S34,9721,51,45,E,0
389,S34,22510,53,29,K,1
390,S34,10162,77,44,E,0
391,S34,9762,01,30,E,1
392,S34,9551,77,35,E,0
393,S34,10266,32,32,E,1
394,S34,19438,48,28,E,1
395,S34,12396,26,54,E,1
396,S34,17076,05,33,E,1
397,S34,6153,02,38,E,0
398,S35,23257,87,45,E,1
399,S35,9315,71,53,E,0
400,S35,11225,12,50,E,0
401,S35,14442,63,41,E,1
402,S35,12012,58,38,E,1
403,S35,11281,83,42,E,1
404,S35,12863,72,51,E,1
405,S35,14052,04,39,E,1
406,S35,16400,52,42,E,1
407,S35,9896,37,31,K,0
408,S35,13739,78,28,K,1
409,S35,14546,63,60,E,1
410,S35,10721,71,33,E,1
411,S35,10339,04,33,E,1
412,S35,9946,12,46,E,0
413,S35,8974,39,49,E,0
414,S35,8959,3,37,E,0
415,S35,9837,63,38,E,0
416,S35,12804,51,49,E,1
417,S35,8364,57,45,E,0
418,S35,9113,98,30,K,1
419,S35,7638,63,E,0
420,S36,6913,63,69,E,0
421,S36,14103,19,54,E,1
422,S36,22495,02,50,E,1
423,S36,8691,96,61,E,0
424,S36,12326,24,63,E,1
425,S36,22202,56,60,E,1
426,S36,13073,65,61,E,1
427,S36,11912,02,60,E,1
428,S36,14785,51,K,1
429,S36,9076,26,59,E,0
430,S36,11551,99,53,E,1
431,S36,14938,24,45,E,1
432,S36,10813,43,53,E,1
433,S36,23588,7,46,E,1
434,S36,21758,67,58,E,1
435,S36,22522,24,42,E,1
436,S36,18929,75,42,E,1
437,S36,22170,44,40,E,1
438,S36,19063,08,40,E,1
439,S36,22409,28,38,E,1
440,S36,21346,94,44,E,1
441,S36,21882,89,42,E,1
442,S36,9970,41,48,E,0
443,S36,7154,59,64,E,0
444,S36,11771,02,28,K,1
445,S36,14697,85,41,E,1
446,S36,11485,82,26,E,1
447,S36,10629,32,41,K,1
448,S36,14816,13,37,K,1
449,S36,11313,73,48,K,1
450,S36,8084,56,38,E,0
451,S36,8716,8,45,K,0
452,S36,11898,54,25,E,1
453,S36,21157,45,32,E,1
454,S36,11106,26,25,E,1
455,S36,12610,84,23,K,1
456,S36,7730,44,54,E,0
457,S37,5383,81,65,E,0
458,S37,6646,99,73,E,0
459,S37,11719,04,31,K,1
460,S38,18314,69,42,E,1
461,S38,10741,17,57,E,1
462,S38,5818,87,54,E,0
463,S38,20455,39,40,E,1
464,S38,6039,01,64,E,0
465,S38,12081,4,56,E,1
466,S38,12500,98,43,K,1
467,S38,16452,93,39,E,1
468,S38,9664,88,31,E,0
469,S38,14766,35,41,E,1
470,S38,12014,78,53,E,1
471,S38,7502,27,29,K,1
472,S38,13255,06,22,E,1
473,S39,5243,19,80,K,0
474,S39,9449,75,51,E,0
475,S39,13282,86,44,E,1
476,S39,16400,83,57,E,1
477,S39,12197,85,44,E,1
478,S39,12199,38,52,E,1
479,S39,8305,48,40,K,0
480,S39,17318,05,40,E,1
481,S39,16487,45,41,E,1
482,S39,18437,37,E,1
483,S39,16528,87,33,E,1
484,S39,16945,15,34,E,1
485,S39,8191,1,31,E,0
486,S39,14603,1,25,E,1
487,S39,9032,06,35,E,0
488,S39,15005,42,34,E,1
489,S39,20459,35,29,E,1
490,S39,16923,53,30,E,1
491,S39,18818,86,27,E,1
492,S39,8524,71,24,E,1
493,S39,8741,37,49,E,0
494,S39,15535,96,29,E,1
495,S39,10756,51,32,E,1
496,S39,10269,03,39,E,1
497,S39,8017,86,28,E,1
498,S39,12882,13,26,E,1
